parent_name,parent_entity_id,parent_entity_type,parent_lei,parent_permid,parent_registration_country,parent_headquarter_country,overall_share_percent,ownership_path,ownership_path_datasource_ids,immediate_source_owner,immediate_source_owner_entity_id,source_operator,source_operator_id,source_id,source_name,source_sector,source_subsector
Russian Copper Co,E100002010984,,,,,,,Russian Copper Co -> 50 Let Oktyabrya Mine [unknown %],,Russian Copper Co,E100002010984,,,45944902,50 Let Oktyabrya Mine,mineral-extraction,copper-mining
Hudbay Minerals Inc,E100002010901,,,,,,,Hudbay Minerals Inc -> 777 Mine [unknown %],,Hudbay Minerals Inc,E100002010901,,,45944445,777 Mine,mineral-extraction,copper-mining
Kazakhmys Holding LLP,E100001011215,legal entity,not found,5080528130,KAZ,KAZ,,Kazakhmys Holding LLP -> Kazakhmys Corporation LLC [100.0%] -> Abyz Mine [unknown %],,Kazakhmys Corporation LLC,E100000000668,,,45944903,Abyz Mine,mineral-extraction,copper-mining
GeoProMining Ltd,E100002010856,,,,,,,GeoProMining Ltd -> Agarak Mine [unknown %],,GeoProMining Ltd,E100002010856,,,45944350,Agarak Mine,mineral-extraction,copper-mining
Hellenic Copper Mines Ltd,E100002010977,,,,,,,Hellenic Copper Mines Ltd -> Agrokipia Mine [unknown %],,Hellenic Copper Mines Ltd,E100002010977,,,45944700,Agrokipia Mine,mineral-extraction,copper-mining
Lundin Mining Corp,E100002010894,,,,,,,Lundin Mining Corp -> Aguablanca Mine [unknown %],,Lundin Mining Corp,E100002010894,,,45945147,Aguablanca Mine,mineral-extraction,copper-mining
Grupo Minero Las Cenizas SA,E100002010918,,,,,,,Grupo Minero Las Cenizas SA -> Aguilucho de Taltal Mine [unknown %],,Grupo Minero Las Cenizas SA,E100002010918,,,45944509,Aguilucho de Taltal Mine,mineral-extraction,copper-mining
Boliden Mineral AB,E100002011048,,,,,,,Boliden Mineral AB -> Aitik Mine [unknown %],,Boliden Mineral AB,E100002011048,,,45945152,Aitik Mine,mineral-extraction,copper-mining
,,,,,,,,,,,,KAZ Minerals Aktogay LLC,E100002013705,45944905,Aktogay Mine,mineral-extraction,copper-mining
,,,,,,,,,,,,KAZ Minerals Aktogay LLC,E100002013705,45944905,Aktogay Mine,mineral-extraction,copper-mining
