source_id,source_name,iso3_country,lat,lon,year,annual_emissions_t_co2e,annual_production_t_ore,avg_capacity_t,capacity_factor,carbon_intensity,carbon_cost_usd_50,carbon_cost_usd_100,carbon_cost_usd_150,carbon_cost_usd_200,mine_status,mine_type,other_minerals,parent_name,parent_headquarter_country,source_operator,ownership_complexity,has_ownership,emissions_confidence,activity_confidence,include_in_intensity,activity_issue,intensity_outlier,data_quality_flag
45944343,Karma Mine,ALB,42.07692,19.793578,2024,0.0,0.0,233333.33335489102,0.0,,0.0,0.0,0.0,0.0,Closed,Underground,Gold,Beralb ShA,,,1.0,True,medium,medium,False,False,False,
45944344,Lak Roshi Mine,ALB,42.056012,20.081305,2024,0.0,0.0,233333.33335489102,0.0,,0.0,0.0,0.0,0.0,Production,Underground,,Beralb ShA,,,1.0,True,very low,very low,True,True,False,production_no_activity
45944345,Munella Mine,ALB,41.97859,20.062479,2024,22224.000002053275,1481606.0001368856,233333.33335489102,0.529145,0.014999939255105609,1111200.0001026639,2222400.0002053278,3333600.000307991,4444800.0004106555,Production,Underground,,Beralb ShA,,,1.0,True,very low,very low,True,False,False,
45944346,Qafe Bari Mine,ALB,42.012853,20.077804,2024,0.0,0.0,233333.33335489102,0.0,,0.0,0.0,0.0,0.0,Production,Underground,,Beralb ShA,,,1.0,True,very low,very low,True,True,False,production_no_activity
45944347,Spac Mine,ALB,41.901686,20.047484,2024,0.0,0.0,233333.33335489102,0.0,,0.0,0.0,0.0,0.0,Suspended,Underground,,Tete Albania Tunnel and Mining ShA,,,1.0,True,medium,medium,False,False,False,
45944348,Alumbrera Mine,ARG,-27.317779,-66.596215,2024,0.0,0.0,51787499.99999998,0.0,,0.0,0.0,0.0,0.0,Closed,Open Pit,Molybdenum/Gold/Silver,Pan American Silver Corp,,,1.0,True,medium,medium,False,False,False,
45944349,Lindero Mine,ARG,-25.083149,-67.779393,2024,132441.99999999994,9393018.999999996,5958749.999999997,0.1313617089714006,0.014100046002249117,6622099.999999997,13244199.999999994,19866299.999999993,26488399.99999999,Production,Open Pit,Gold,Fortuna Silver Mines Inc,,,3.0,True,high,low,True,False,False,
45944350,Agarak Mine,ARM,38.914977,46.184626,2024,52650.00022529284,3509991.015019484,13014166.722355148,0.0224754498303131,0.015000038461637081,2632500.011264642,5265000.022529284,7897500.033793926,10530000.045058567,Production,Open Pit,Molybdenum,GeoProMining Ltd,,,1.0,True,very low,low,True,False,False,
45944351,Kajaran Mine,ARM,39.144491,46.139239,2024,956837.0040943689,63789108.27295782,72353642.47598934,0.0734691280333333,0.01500000595712986,47841850.20471845,95683700.4094369,143525550.61415532,191367400.8188738,Production,Open Pit,Molybdenum,Zangezur Copper-Molybdenum Combine JSC,,,3.0,True,very low,low,True,False,False,
45944352,Kapan Mine,ARM,39.206026,46.432622,2024,7922.000033898763,528114.0022598348,261666.66778635568,0.1681891719745223,0.01500054912386341,396100.00169493817,792200.0033898763,1188300.0050848145,1584400.0067797527,Production,Underground,Zinc/Gold/Silver,Gold Mining Co LLC,,,1.0,True,very low,high,True,False,False,
45944353,Teghut Mine,ARM,41.087026,44.841911,2024,0.0,0.0,9166666.70589144,0.0,,0.0,0.0,0.0,0.0,Suspended,Open Pit,Molybdenum,Vallex Group,,,1.0,True,medium,medium,False,False,False,
45944354,Ankata Mine,AUS,-29.723099,135.578769,2024,1729.0,236882.0,4500000.0,0.0043867037037037,0.007298992747443875,86450.0,172900.0,259350.0,345800.0,Production,Underground,Gold/Silver,The Vanguard Group Inc,USA,,8.0,True,medium,medium,True,False,False,
45944355,Anthill Mine,AUS,-20.255397,139.114318,2024,30444.0,1770000.0,239166.66666666666,0.6167247386759582,0.0172,1522200.0,3044400.0,4566600.0,6088800.0,Production,Open Pit,,Austral Resources Australia Ltd,,,1.0,True,medium,high,True,False,False,
45944356,Balcooma Mine,AUS,-18.770804,144.712136,2024,0.0,0.0,6498591.350106154,0.0,,0.0,0.0,0.0,0.0,Suspended,Both,,Lachlan Resources NL,,,3.0,True,medium,medium,False,False,False,
45944357,Black Rock Mine,AUS,-20.726764,139.477236,2024,0.0,0.0,6498591.350106154,0.0,,0.0,0.0,0.0,0.0,Closed,Open Pit,Gold/Silver,,,,,False,medium,medium,False,False,False,
45944358,Black Star Mine,AUS,-20.716018,139.475661,2024,0.0,0.0,6498591.350106154,0.0,,0.0,0.0,0.0,0.0,Closed,Open Pit,Gold/Silver,,,,,False,medium,medium,False,False,False,
45944359,Boddington Mine,AUS,-32.753965,116.355515,2024,236689.00000000003,31985000.0,39991666.666666664,0.0666493019379037,0.007400000000000001,11834450.000000002,23668900.000000004,35503350.00000001,47337800.00000001,Production,Open Pit,Gold,Newmont Corp,USA,,1.0,True,high,high,True,False,False,
45944360,Browns Mine,AUS,-12.991673,130.995824,2024,0.0,0.0,6498591.350106154,0.0,,0.0,0.0,0.0,0.0,Closed,Open Pit,Polymetallic,,,,,False,medium,medium,False,False,False,
45944361,Cadia East Mine,AUS,-33.469173,148.997415,2024,87300.0,29100000.0,91833333.33333333,0.0264065335753176,0.003,4365000.0,8730000.0,13095000.0,17460000.0,Production,Both,Molybdenum/Gold/Silver,,,,,False,medium,high,True,False,False,
45944362,Cadia Hill Mine,AUS,-33.456746,148.995928,2024,0.0,0.0,6498591.350106154,0.0,,0.0,0.0,0.0,0.0,Suspended,Open Pit,Gold,,,,,False,medium,medium,False,False,False,
45944363,Capricorn Mine,AUS,-19.692055,139.365234,2024,6088.0,491000.0,1583333.3333333333,0.025842105263157795,0.01239918533604888,304400.0,608800.0,913200.0,1217600.0,Production,Underground,Silver/Cobalt,29Metals Ltd,,,1.0,True,medium,high,True,False,False,
45944364,Carrapateena Mine,AUS,-31.248309,137.484845,2024,13151.0,1801512.0,15750000.0,0.0095318095238095,0.007299979128643051,657550.0,1315100.0,1972650.0,2630200.0,Production,Underground,Gold/Silver,The Vanguard Group Inc,USA,,8.0,True,medium,high,True,False,False,
45944365,Cassini Mine,AUS,-31.708054,121.626004,2024,0.0,0.0,6498591.350106154,0.0,,0.0,0.0,0.0,0.0,Suspended,Underground,,,,,,False,medium,medium,False,False,False,
45944366,CSA Mine,AUS,-31.408831,145.80091,2024,20760.0,1207000.0,658333.3333333334,0.1527848101265822,0.0171996685998343,1038000.0,2076000.0,3114000.0,4152000.0,Production,Underground,Silver,Metal Acquisition Corp,,,3.0,True,medium,high,True,False,False,
45944367,Dry River South Mine,AUS,-18.785454,144.696205,2024,164624.92400938232,9571216.51217339,6498591.350106154,0.12273450245512359,0.0172,8231246.200469116,16462492.400938231,24693738.60140735,32924984.801876463,Production,Underground,Polymetallic,Aurora Metals Ltd,,,1.0,True,medium,medium,True,False,False,
45944368,Dugald River Mine,AUS,-20.249033,140.156439,2024,17826.0,1650517.0,1666666.6666666667,0.08252585,0.010800252284587192,891300.0,1782600.0,2673900.0,3565200.0,Production,Underground,Polymetallic,MMG Ltd,,,1.0,True,high,high,True,False,False,
45944369,Durkin North Mine,AUS,-31.166324,121.662802,2024,0.0,0.0,6498591.350106154,0.0,,0.0,0.0,0.0,0.0,Suspended,Underground,Nickel,,,,,False,medium,medium,False,False,False,
45944370,Eloise Mine,AUS,-20.954676,140.980229,2024,46469.0,574400.0,203750.0,0.2349284253578732,0.080900069637883,2323450.0,4646900.0,6970350.0,9293800.0,Production,Underground,,AIC Mines Ltd,,,1.0,True,high,high,True,False,False,
45944371,Ernest Henry Mine,AUS,-20.439331,140.72374,2024,18720.0,5200000.0,6450000.0,0.0671834625322997,0.0036,936000.0,1872000.0,2808000.0,3744000.0,Production,Both,Gold/Silver,Evolution Mining,,,3.0,True,high,high,True,False,False,
45944372,Far West Mine,AUS,-20.337415,145.761984,2024,0.0,0.0,6498591.350106154,0.0,,0.0,0.0,0.0,0.0,Suspended,Underground,,,,,,False,medium,medium,False,False,False,
45944373,Golden Grove Mine,AUS,-28.744488,116.944726,2024,29413.0,1524000.0,1391666.6666666667,0.09125748502994009,0.0192998687664042,1470650.0,2941300.0,4411950.0,5882600.0,Production,Underground,Polymetallic,29Metals Ltd,,,3.0,True,high,high,True,False,False,
45944374,Hellyer Mine,AUS,-41.578437,145.725572,2024,25800.0,1500000.0,530833.3333333334,0.2354788069073783,0.0172,1290000.0,2580000.0,3870000.0,5160000.0,Production,Underground,Polymetallic,NQ Minerals PLC,,,1.0,True,very low,very low,True,False,False,
45944375,Hera Mine,AUS,-32.114626,146.331968,2024,4851.0,282014.0,49166.666666666664,0.4779898305084746,0.01720127369563213,242550.0,485100.0,727650.0,970200.0,Production,Underground,Polymetallic,Aurelia Metals Ltd,,,3.0,True,medium,high,True,False,False,
45944376,Highway Reward Mine,AUS,-20.367106,146.203415,2024,0.0,0.0,6498591.350106154,0.0,,0.0,0.0,0.0,0.0,Closed,Both,Gold,,,,,False,medium,medium,False,False,False,
