source_id,source_name,iso3_country,parent_name,mine_type,lat,lon,mine_status,annual_emissions_t_co2e,annual_production_t_ore,carbon_intensity,estimated_revenue_usd,break_even_carbon_price,carbon_cost_pct_revenue_50,carbon_cost_pct_revenue_100,carbon_cost_pct_revenue_150,carbon_cost_pct_revenue_200,underwater_at_50,underwater_at_100,underwater_at_150,underwater_at_200,trend_slope,pct_change_2021_2024,trajectory_category
45944345,Munella Mine,ALB,Beralb ShA,Underground,41.97859,20.062479,Production,22224.000002053275,1481606.0001368856,0.0149999392551056,112602056.0104033,1520.0061555075595,0.9868381088885272,1.9736762177770544,2.9605143266655807,3.9473524355541088,False,False,False,False,-1066.8000000985617,-19.35554104071413,Improving (>10% reduction)
45944349,Lindero Mine,ARG,Fortuna Silver Mines Inc,Open Pit,-25.083149,-67.779393,Production,132441.99999999994,9393018.999999996,0.0141000460022491,713869443.9999998,1617.016000966461,0.927634605411126,1.855269210822252,2.782903816233379,3.710538421644504,False,False,False,False,13717.699999999997,41.74925615942805,Deteriorating (>10% increase)
45944350,Agarak Mine,ARM,GeoProMining Ltd,Open Pit,38.914977,46.184626,Production,52650.00022529284,3509991.015019484,0.015000038461637,266759317.14148077,1519.9961025641023,0.9868446356340185,1.973689271268037,2.960533906902056,3.947378542536074,False,False,False,False,911.8000039016522,-5.645161290322584,Slightly Improving
45944351,Kajaran Mine,ARM,Zangezur Copper-Molybdenum Combine JSC,Open Pit,39.144491,46.139239,Production,956837.0040943688,63789108.27295782,0.0150000059571298,4847972228.744794,1519.999396344414,0.9868424971795962,1.9736849943591923,2.9605274915387882,3.9473699887183846,False,False,False,False,-21471.100091876266,-14.787395291758171,Improving (>10% reduction)
45944352,Kapan Mine,ARM,Gold Mining Co LLC,Underground,39.206026,46.432622,Production,7922.000033898763,528114.0022598348,0.0150005491238634,40136664.171747446,1519.9443574854836,0.986878231833119,1.973756463666238,2.960634695499357,3.9475129273324763,False,False,False,False,-1034.9000044284057,-29.046126287505597,Improving (>10% reduction)
45944354,Ankata Mine,AUS,The Vanguard Group Inc,Underground,-29.723099,135.578769,Production,1729.0,236882.0,0.0072989927474438,18003032.0,3123.7186813186813,0.4801968912792023,0.9603937825584046,1.440590673837607,1.9207875651168091,False,False,False,False,-65.9,-5.104281009879254,Slightly Improving
45944355,Anthill Mine,AUS,Austral Resources Australia Ltd,Open Pit,-20.255397,139.114318,Production,30444.0,1770000.0,0.0172,134520000.0,1325.5813953488373,1.1315789473684212,2.2631578947368425,3.394736842105263,4.526315789473685,False,False,False,False,12590.0,inf,Deteriorating (>10% increase)
45944359,Boddington Mine,AUS,Newmont Corp,Open Pit,-32.753965,116.355515,Production,236689.00000000003,31985000.0,0.0074,2430860000.0,3081.081081081081,0.486842105263158,0.973684210526316,1.460526315789474,1.947368421052632,False,False,False,False,10381.200000000008,12.745555703751704,Deteriorating (>10% increase)
45944361,Cadia East Mine,AUS,,Both,-33.469173,148.997415,Production,87300.0,29100000.0,0.003,2211600000.0,7600.0,0.19736842105263158,0.39473684210526316,0.5921052631578948,0.7894736842105263,False,False,False,False,9593.7,49.20271401958606,Deteriorating (>10% increase)
45944363,Capricorn Mine,AUS,29Metals Ltd,Underground,-19.692055,139.365234,Production,6088.0,491000.0,0.0123991853360488,37316000.0,1838.8304862023654,0.8157358773716369,1.6314717547432738,2.4472076321149108,3.2629435094865475,False,False,False,False,-3195.5,-57.05417607223476,Improving (>10% reduction)
45944364,Carrapateena Mine,AUS,The Vanguard Group Inc,Underground,-31.248309,137.484845,Production,13151.0,1801512.0,0.007299979128643,136914912.0,3123.296601018934,0.48026178477914805,0.9605235695582961,1.4407853543374443,1.9210471391165922,False,False,False,False,-1525.8,-24.536638549377404,Improving (>10% reduction)
45944366,CSA Mine,AUS,Metal Acquisition Corp,Underground,-31.408831,145.80091,Production,20760.0,1207000.0,0.0171996685998343,91732000.0,1325.606936416185,1.131557144725941,2.263114289451882,3.394671434177823,4.526228578903764,False,False,False,False,2402.8,5.268495512397951,Slightly Deteriorating
45944367,Dry River South Mine,AUS,Aurora Metals Ltd,Underground,-18.785454,144.696205,Production,164624.92400938232,9571216.51217339,0.0172,727412454.9251777,1325.5813953488373,1.131578947368421,2.263157894736842,3.3947368421052637,4.526315789473684,False,False,False,False,0.0,0.0,Stable
45944368,Dugald River Mine,AUS,MMG Ltd,Underground,-20.249033,140.156439,Production,17826.0,1650517.0,0.0108002522845871,125439292.0,2111.0617973746216,0.7105429134596837,1.4210858269193674,2.131628740379051,2.8421716538387347,False,False,False,False,1471.7,31.083167879991176,Deteriorating (>10% increase)
45944370,Eloise Mine,AUS,AIC Mines Ltd,Underground,-20.954676,140.980229,Production,46469.0,574400.0,0.080900069637883,43654400.0,281.82917644020745,5.322373002492303,10.644746004984606,15.96711900747691,21.289492009969212,False,False,False,False,14402.2,303.3067175837528,Deteriorating (>10% increase)
45944371,Ernest Henry Mine,AUS,Evolution Mining,Both,-20.439331,140.72374,Production,18720.0,5200000.0,0.0036,395200000.0,6333.333333333333,0.2368421052631579,0.4736842105263158,0.7105263157894737,0.9473684210526316,False,False,False,False,1255.6,31.074079260607757,Deteriorating (>10% increase)
45944373,Golden Grove Mine,AUS,29Metals Ltd,Underground,-28.744488,116.944726,Production,29413.0,1524000.0,0.0192998687664042,115824000.0,1181.3551830823105,1.2697282083160657,2.5394564166321314,3.8091846249481973,5.078912833264263,False,False,False,False,1144.2,15.490026700172766,Deteriorating (>10% increase)
45944374,Hellyer Mine,AUS,NQ Minerals PLC,Underground,-41.578437,145.725572,Production,25800.0,1500000.0,0.0172,114000000.0,1325.5813953488373,1.1315789473684212,2.2631578947368425,3.394736842105263,4.526315789473685,False,False,False,False,2160.0,-0.3861003861003861,Stable
45944375,Hera Mine,AUS,Aurelia Metals Ltd,Underground,-32.114626,146.331968,Production,4851.0,282014.0,0.0172012736956321,21433064.0,1325.483240568955,1.131662743133693,2.263325486267386,3.3949882294010787,4.526650972534772,False,False,False,False,-654.9,-39.903369672943505,Improving (>10% reduction)
45944377,Jaguar Mine,AUS,Aeris Resources Ltd,Underground,-28.430572,121.141006,Production,11634.0,402574.0,0.0288990347116306,30595624.0,788.9536874677668,1.9012522836599117,3.8025045673198234,5.703756850979735,7.605009134639647,False,False,False,False,4467.1,65.04468718967229,Deteriorating (>10% increase)
45944383,Malu Mine,AUS,The Vanguard Group Inc,Both,-29.718778,135.577234,Production,12826.0,1757001.0,0.007299938930029,133532076.0,3123.3138000935596,0.48025914013349125,0.9605182802669825,1.4407774204004737,1.921036560533965,False,False,False,False,-487.9,-5.069943009399748,Slightly Improving
45944384,Miitel Mine,AUS,,Underground,-31.584689,121.646129,Production,5279.0,306917.0,0.0172000899265925,23325692.000000004,1325.5744648607692,1.1315848635916137,2.2631697271832274,3.3947545907748413,4.526339454366455,False,False,False,False,2116.1,328.14274128142745,Deteriorating (>10% increase)
