Mine,Country,Parent,Type,Emissions,Intensity,Cost@$100,Cost@$200,Capacity,Confidence
Mount Isa Operation,AUS,Government of Qatar,Both,204750.0,0.0455,20475000.0,40950000.0,0.6923076923076922,high
El Salvador Mine,CHL,Codelco Corp,Both,216433.0,0.3005003873698007,21643300.0,43286600.0,0.0010623038348082,medium
Lomas Bayas Mine,CHL,Glencore PLC,Open Pit,1038655.0,0.0455000147847504,103865500.0,207731000.0,0.0803787852112676,medium
Ministro Hales Mine,CHL,Codelco Corp,Open Pit,336249.0,0.0293999892454738,33624900.0,67249800.0,0.0219521017274472,medium
Pueblo Viejo Mine,DOM,Barrick Gold Corp,Open Pit,479331.0,0.0369,47933100.0,95866200.0,0.0447931034482758,high
Dikuluwe-Mashamba West Mine,COD,SinoCongolaise des Mines SA,Open Pit,1791061.0,0.0413999923397598,179106100.0,358212200.0,0.0151380023855,low
Frontier Mine,COD,Eurasian Resources Group SARL,Open Pit,310395.0,0.0331999537931344,31039500.0,62079000.0,0.0151380023855,low
Kipese Mine,COD,,Open Pit,273601.0,0.0331999918456458,27360100.0,54720200.0,0.0151380023854999,low
KOV Mine,COD,,Both,221939.0,0.0454999647380859,22193900.0,44387800.0,0.0151380023854999,medium
Mashamba East Mine,COD,,Open Pit,206315.0,0.0455000763057771,20631500.0,41263000.0,0.0151380023855,medium
Metalkol RTR Operation,COD,,Underground,279608.0,0.0331999476130265,27960800.0,55921600.0,0.0765631,very low
Mutanda Mine,COD,Glencore PLC,Open Pit,307075.0,0.0455000074086147,30707500.0,61415000.0,0.0695762886597938,low
Pumpi Mine,COD,Wanbao Mining Co,Open Pit,215891.0,0.041399916276253,21589100.0,43178200.0,0.0151380023854999,low
Sico Mine,COD,China RAILWAY Group Ltd,Open Pit,396978.0,0.0414000413606205,39697800.0,79395600.0,0.0151380023855,low
Tenke Fungurume Mine,COD,CMOC Group Ltd,Open Pit,1340404.0,0.0943999661952786,134040400.0,268080800.0,0.0511682882882882,high
Kamoa-Kakula Operation,COD,Ivanhoe Mines Ltd Zijin Mining Group Co Ltd,Underground,279113.0,0.0331999963363946,27911300.0,55822600.0,0.0217235633074935,medium
Batu Hijau Mine,IDN,PT Amman Mineral Internasional Tbk,Open Pit,681556.0049567898,0.0592999732628253,68155600.49567898,136311200.99135795,0.0143130273972601,medium
Deep Mill Level Zone Mine,IDN,FreePort-McMoran Inc,Underground,1030570.0074950831,0.0371999927806955,103057000.74950832,206114001.49901664,0.0831936936936937,medium
Grasberg Block Cave Mine,IDN,FreePort-McMoran Inc,Underground,1592699.0115833096,0.0371999906573707,159269901.15833098,318539802.31666195,0.0551023166023166,medium
Antapaccay Mine,PER,Qatar Investment Authority,Open Pit,1863345.0,0.0455000081801828,186334500.0,372669000.0,0.0892214161220043,medium
Kansanshi Mine,ZMB,First Quantum Minerals Ltd,Open Pit,1058410.0,0.0453999914210955,105841000.0,211682000.0,0.0263483273056057,high
