Company,Assets at Risk,Exposure@$100/t,Emissions
Government of Iran,3,484484499.9999998,4844844.999999998
FreePort-McMoran Inc,6,438491501.9937304,4384915.019937304
Qatar Investment Authority,5,211210300.07450196,2112103.00074502
Wanbao Mining Co,3,208164500.0,2081645.0
SinoCongolaise des Mines SA,1,179106100.0,1791061.0
Zijin Mining Group Co Ltd,5,143079742.83387274,1430797.4283387274
Codelco Corp,4,140686500.0,1406865.0
Southern Copper Corp,3,140406700.0,1404067.0
First Quantum Minerals Ltd,2,136368900.0,1363689.0
Glencore PLC,2,134573000.0,1345730.0
CMOC Group Ltd,1,134040400.0,1340404.0
The Vanguard Group Inc,3,113411100.005815,1134111.00005815
Amerigo Resources Ltd,1,106796100.0,1067961.0
Zangezur Copper-Molybdenum Combine JSC,1,95683700.4094369,956837.0040943688
Almalyk Mining and Metallurgical Complex JSC,1,85919999.99999997,859199.9999999997
Government of Poland,1,73984000.0,739840.0
Blackrock Advisors LLC,2,70021700.0,700217.0
PT Amman Mineral Internasional Tbk,1,68155600.49567898,681556.0049567898
Eurasian Resources Group SARL,4,66034628.29737299,660346.2829737299
Barrick Gold Corp,2,64041100.0,640411.0
